ns1:EventDate,ns1:AttendanceEventType,ns1:AttendanceEventCategory,ns1:AttendanceEventReason,ns1:EducationalEnvironment,ns1:StudentUniqueStateId,ns1:StateOrganizationId,ns1:LocalCourseCode,ns1:SchoolYear,ns1:Term,ns1:ClassPeriodName,ns1:Location
10/16/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3512272909,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/4/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,3249753195,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/29/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,3249753195,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/4/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4890114622,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/12/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/11/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/4/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/16/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/15/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/14/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/25/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/15/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/17/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6281517471,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/9/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6281517471,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/25/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6281517471,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
8/31/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6281517471,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/15/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6352245121,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/12/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5196212361,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/17/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/16/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8717487873,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/5/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/15/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/6/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/30/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/8/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/4/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5376933524,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/1/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5376933524,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/21/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,5376933524,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/1/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,9889453359,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/10/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2079087413,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/19/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2079087413,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/2/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2079087413,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/26/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4648406703,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4648406703,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/22/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4648406703,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/14/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4648406703,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/1/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/17/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/16/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/13/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2558717177,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/20/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/19/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/17/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/16/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/6/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/2/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/28/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/16/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/9/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6234399377,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/7/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8361245701,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/16/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8361245701,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/13/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8361245701,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/12/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8361245701,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/8/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,9080393878,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/1/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,9080393878,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8563780767,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8563780767,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/3/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2284435378,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/2/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2284435378,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/28/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,7481008576,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/19/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,1953606219,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/13/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,1953606219,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/4/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,654834437,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/2/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,654834437,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/9/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,654834437,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/8/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,654834437,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/4/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,654834437,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/7/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,4819166727,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/28/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4819166727,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/25/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4819166727,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/8/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4819166727,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/20/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8356715827,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/19/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8356715827,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/18/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,8356715827,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/2/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8356715827,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/28/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8356715827,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/10/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,3857822427,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/9/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,3857822427,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/18/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,3857822427,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/17/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,3857822427,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/17/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4242784478,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4242784478,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/13/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,4242784478,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/7/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,4242784478,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/24/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4242784478,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/18/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,4242784478,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/2/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,9557932085,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/17/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/16/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/5/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/28/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/27/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/19/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/11/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/9/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6859777847,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/8/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3088423781,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/16/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,9968224203,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,9968224203,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/17/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6657461462,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/30/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6657461462,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/28/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5950733077,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/22/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,5950733077,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/25/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,5950733077,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,7962292502,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/9/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,7962292502,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/8/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,7962292502,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/7/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,7962292502,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/10/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,1227792716,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,1227792716,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/2/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,1227792716,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/28/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,1227792716,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/16/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6287022217,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/17/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6287022217,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/16/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6287022217,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/13/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,6287022217,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/9/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6287022217,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/10/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3088423781,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/8/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3088423781,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/24/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,3088423781,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/18/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3088423781,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/10/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6607161602,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/21/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6607161602,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/11/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,5672299491,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/14/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,5672299491,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/25/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,1773120426,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/10/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5753317562,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/4/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5753317562,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5753317562,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/1/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,5753317562,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/8/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,5753317562,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/4/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,266719281,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/15/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,266719281,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/14/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,9750244586,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/30/2015,Daily Attendance,Unexcused Absence,Skipping-Unexcused,Classroom,5283059953,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/30/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2777658943,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/27/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2777658943,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2777658943,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/30/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,2777658943,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/11/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7083633191,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/10/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7083633191,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/9/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7083633191,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/14/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6607161602,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/12/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6607161602,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/9/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/8/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
12/7/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/30/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/5/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/4/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/2/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/13/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,7935580626,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/30/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,6225039137,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6225039137,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/12/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6225039137,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/29/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6225039137,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/30/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6254219767,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
8/28/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3655248146,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/22/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/9/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/8/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/7/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/29/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/28/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/25/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/21/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,8766630537,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
